reviewed_panel_version,native_program_id,native_program_name,reviewed_panel_tier,waus8730_gene_id,preferred_name,source_leiden_clusters,best_marker_rank,max_marker_score,evidence_level,annotation_summary,manual_recommended_decision,manual_review_confidence,annotation_fit_to_program,suggested_program_adjustment,manual_review_notes_recommended,reviewed_decision_source
v1,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,reviewed_core,Waus8730.v1.chrC.g149550,ccsA,1,3,51.2945,high,Cytochrome c biogenesis protein CcsA,keep,medium,partial,,"ccsA is chloroplast cytochrome c biogenesis; related to chloroplast function, though not translation-specific.",manual_review_recommendation
v1,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,reviewed_core,Waus8730.v1.chrC.g149300,atpB,1,4,51.2809,high,ATP synthase subunit beta,keep,medium,partial,photosynthesis_light_harvesting,"atpB is chloroplast ATP synthase; fits chloroplast/photosynthetic machinery, though not strictly gene expression.",manual_review_recommendation
v1,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,reviewed_core,Waus8730.v1.chrC.g149140,rps3,1,5,51.0409,high,Belongs to the universal ribosomal protein uS3 family,keep,high,direct,,rps3 is a plastid/chloroplast ribosomal protein; strong fit for plastid translation.,manual_review_recommendation
v1,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,reviewed_core,Waus8730.v1.chrC.g149640,ycf1,1,6,50.2663,medium,Involved in protein precursor import into chloroplasts. May be part of an intermediate translocation complex acting as a protein-conducting channel at the inner envelope,keep,medium,partial,,ycf1 is chloroplast import/translocation-related; useful supporting chloroplast-function marker.,manual_review_recommendation
v1,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,reviewed_core,Waus8730.v1.chrC.g149220,clpP,1,7,49.8573,medium,ATP-dependent Clp protease proteolytic,keep,medium,partial,,clpP is plastid protease-related; useful supporting marker for chloroplast protein maintenance.,manual_review_recommendation
v1,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,reviewed_supporting,Waus8730.v1.chr1.g011900,-,3,5,38.9016,high,"Short-chain dehydrogenase TIC 32, chloroplastic-like",maybe,medium,partial,,"TIC32 is chloroplast-related and plausible, but less direct than ribosomal/polymerase genes.",manual_review_recommendation
v1,ion_water_balance,Ion / water balance,reviewed_core,Waus8730.v1.chr12.g027290,-,5,1,38.4052,high,Belongs to the MIP aquaporin (TC 1.A.8) family,keep,high,direct,,MIP/aquaporin annotation directly supports water transport/balance.,manual_review_recommendation
v1,ion_water_balance,Ion / water balance,reviewed_core,Waus8730.v1.chr5.g111250,-,5,2,38.3184,high,Belongs to the MIP aquaporin (TC 1.A.8) family,keep,high,direct,,MIP/aquaporin annotation directly supports water transport/balance.,manual_review_recommendation
v1,ion_water_balance,Ion / water balance,reviewed_core,Waus8730.v1.chr1.g013300,-,5,4,34.2919,high,Belongs to the MIP aquaporin (TC 1.A.8) family,keep,high,direct,,MIP/aquaporin annotation directly supports water transport/balance.,manual_review_recommendation
v1,ion_water_balance,Ion / water balance,reviewed_core,Waus8730.v1.chr14.g044450,HAK5,14,5,9.3193,high,Potassium transporter,keep,high,direct,,HAK5 potassium transporter directly supports ion balance.,manual_review_recommendation
v1,ion_water_balance,Ion / water balance,reviewed_core,Waus8730.v1.chr5.g111340,TIP4-3,5,6,32.2176,medium,Belongs to the MIP aquaporin (TC 1.A.8) family,keep,high,direct,,TIP4-3 aquaporin annotation directly supports water balance.,manual_review_recommendation
v1,ion_water_balance,Ion / water balance,reviewed_core,Waus8730.v1.chr18.g069540,-,14,6,9.242,medium,Sodium/hydrogen exchanger family,keep,high,direct,,Sodium/hydrogen exchanger directly supports ion and salt-balance biology.,manual_review_recommendation
v1,ion_water_balance,Ion / water balance,reviewed_supporting,Waus8730.v1.chr1.g008530,-,9,6,35.5074,medium,plasma membrane ATPase,maybe,medium,partial,,Plasma membrane ATPase supports ion gradients but is broad; use as supporting marker.,manual_review_recommendation
v1,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,reviewed_core,Waus8730.v1.chr9.g145240,-,7;8;9;13,1,37.1226,high,Plant non-specific lipid-transfer proteins transfer phospholipids as well as galactolipids across membranes. May play a role in wax or cutin deposition in the cell walls of expanding epidermal cells and certain secretory tissues,keep,high,direct,,Lipid-transfer protein with wax/cutin/cell-wall deposition annotation directly supports surface/cell-wall biology.,manual_review_recommendation
v1,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,reviewed_core,Waus8730.v1.chr16.g057130,-,2,2,49.7493,high,3-ketoacyl-coa synthase,keep,high,direct,,3-ketoacyl-CoA synthase supports very-long-chain lipid/wax biosynthesis.,manual_review_recommendation
v1,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,reviewed_core,Waus8730.v1.chr15.g053470,-,3,2,39.2811,high,O-acyltransferase (WSD1-like),keep,high,direct,,O-acyltransferase/WSD1-like annotation supports wax/lipid surface biology.,manual_review_recommendation
v1,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,reviewed_core,Waus8730.v1.chr14.g045910,-,9;13,4,36.3972,high,Belongs to the sterol desaturase family,keep,high,direct,,Sterol desaturase supports membrane/surface lipid biology.,manual_review_recommendation
v1,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,reviewed_core,Waus8730.v1.chr14.g045920,-,7;9;13,5,36.1962,high,Belongs to the sterol desaturase family,keep,high,direct,,Sterol desaturase supports membrane/surface lipid biology.,manual_review_recommendation
v1,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,reviewed_core,Waus8730.v1.chr15.g049100,-,12,6,16.9095,medium,"Catalyzes xyloglucan endohydrolysis (XEH) and or endotransglycosylation (XET). Cleaves and religates xyloglucan polymers, an essential constituent of the primary cell wall, and thereby participates in cell wall construction of growing tissues",keep,high,direct,,Xyloglucan endotransglycosylase/hydrolase annotation directly supports cell-wall remodeling.,manual_review_recommendation
v1,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,reviewed_supporting,Waus8730.v1.chr1.g003300,-,3,1,43.6534,high,Belongs to the Casparian strip membrane proteins (CASP) family,maybe,medium,partial,,"CASP-family membrane protein supports surface/barrier biology, but Casparian-strip terminology is root-associated; keep cautiously.",manual_review_recommendation
v1,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,reviewed_supporting,Waus8730.v1.chr15.g053070,-,12,4,17.9614,high,Belongs to the glycosyltransferase 8 family,maybe,medium,partial,,"Glycosyltransferase can support cell-wall polysaccharide biology, but annotation is broad; use as supporting marker.",manual_review_recommendation
v1,nutrient_transport,Nutrient transport,reviewed_core,Waus8730.v1.chr7.g132050,NAR2.2,7;9,2,40.6439,high,High affinity nitrate transporter,keep,high,direct,,NAR2.2/high-affinity nitrate transporter directly supports nutrient transport.,manual_review_recommendation
v1,nutrient_transport,Nutrient transport,reviewed_core,Waus8730.v1.chr12.g028590,-,7,3,40.4727,high,Inorganic phosphate transporter,keep,high,direct,,Inorganic phosphate transporter directly supports nutrient transport.,manual_review_recommendation
v1,nutrient_transport,Nutrient transport,reviewed_core,Waus8730.v1.chr4.g099300,NRT2.3,7,5,39.273,high,high affinity nitrate transporter,keep,high,direct,,NRT2.3/high-affinity nitrate transporter directly supports nutrient transport.,manual_review_recommendation
v1,nutrient_transport,Nutrient transport,reviewed_core,Waus8730.v1.chr13.g034020,-,9,8,35.3464,medium,sulfate transporter,keep,high,direct,,Sulfate transporter directly supports nutrient transport.,manual_review_recommendation
v1,nutrient_transport,Nutrient transport,reviewed_supporting,Waus8730.v1.chr16.g056580,-,7,6,37.2033,medium,glutamine synthetase,maybe,medium,partial,nitrogen_assimilation,Glutamine synthetase supports nitrogen assimilation more than transport; keep as supporting nutrient-metabolism marker or reassign if adding nitrogen-assimilation category.,manual_review_recommendation
v1,photosynthesis_light_harvesting,Photosynthesis / light harvesting,reviewed_core,Waus8730.v1.chr5.g115190,-,6;8,1,29.8563,high,"The light-harvesting complex (LHC) functions as a light receptor, it captures and delivers excitation energy to photosystems with which it is closely associated",keep,high,direct,,Light-harvesting complex annotation directly supports photosynthesis/light harvesting.,manual_review_recommendation
v1,photosynthesis_light_harvesting,Photosynthesis / light harvesting,reviewed_core,Waus8730.v1.chr6.g122410,-,4;6;8,2,40.0379,high,"The light-harvesting complex (LHC) functions as a light receptor, it captures and delivers excitation energy to photosystems with which it is closely associated",keep,high,direct,,Light-harvesting complex annotation directly supports photosynthesis/light harvesting.,manual_review_recommendation
v1,photosynthesis_light_harvesting,Photosynthesis / light harvesting,reviewed_core,Waus8730.v1.chr7.g126900,-,0;11,2,28.3787,high,Photosystem II reaction centre X protein (PsbX),keep,high,direct,,Photosystem II reaction centre protein directly supports photosynthesis.,manual_review_recommendation
v1,photosynthesis_light_harvesting,Photosynthesis / light harvesting,reviewed_core,Waus8730.v1.chr17.g061240,ELIP,2;8,3,48.9931,high,Chlorophyll A-B binding protein,keep,high,direct,,ELIP/chlorophyll A-B binding annotation directly supports light-harvesting/photosynthesis.,manual_review_recommendation
v1,photosynthesis_light_harvesting,Photosynthesis / light harvesting,reviewed_core,Waus8730.v1.chr11.g023520,-,0;4;11,3,39.6595,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",keep,high,direct,carbon_fixation_assimilation,"Rubisco is more specifically carbon fixation, but it is still valid under a broad photosynthesis program; consider keeping one canonical carbon-fixation assignment to avoid double counting.",manual_review_recommendation
v1,photosynthesis_light_harvesting,Photosynthesis / light harvesting,reviewed_core,Waus8730.v1.chr11.g023670,-,0;4;11,4,38.7658,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",keep,high,direct,carbon_fixation_assimilation,"Rubisco is more specifically carbon fixation, but it is still valid under a broad photosynthesis program; consider keeping one canonical carbon-fixation assignment to avoid double counting.",manual_review_recommendation
v1,photosynthesis_light_harvesting,Photosynthesis / light harvesting,reviewed_core,Waus8730.v1.chr11.g023640,-,0;11,4,28.0335,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",keep,high,direct,carbon_fixation_assimilation,"Rubisco is more specifically carbon fixation, but it is still valid under a broad photosynthesis program; consider keeping one canonical carbon-fixation assignment to avoid double counting.",manual_review_recommendation
v1,photosynthesis_light_harvesting,Photosynthesis / light harvesting,reviewed_core,Waus8730.v1.chr5.g116260,-,0;6,4,27.8803,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",keep,high,direct,carbon_fixation_assimilation,"Rubisco is more specifically carbon fixation, but it is still valid under a broad photosynthesis program; consider keeping one canonical carbon-fixation assignment to avoid double counting.",manual_review_recommendation
v1,rna_binding_regulatory,RNA-binding / regulatory,reviewed_core,Waus8730.v1.chr3.g090140,GRP1,0,2,23.6906,high,glycine-rich RNA-binding,keep,high,direct,,Glycine-rich RNA-binding annotation directly supports RNA-binding/regulatory program.,manual_review_recommendation
v1,rna_binding_regulatory,RNA-binding / regulatory,reviewed_core,Waus8730.v1.chr9.g141430,GRP1,0;3,3,39.1241,high,glycine-rich RNA-binding,keep,high,direct,,Glycine-rich RNA-binding annotation directly supports RNA-binding/regulatory program.,manual_review_recommendation
v1,rna_binding_regulatory,RNA-binding / regulatory,reviewed_core,Waus8730.v1.chr2.g084870,-,0;11,3,28.3507,high,29 kDa ribonucleoprotein,keep,high,direct,,Ribonucleoprotein annotation directly supports RNA-binding/regulatory program.,manual_review_recommendation
v1,stress_chaperone_response,Stress / chaperone response,reviewed_core,Waus8730.v1.chr16.g057270,-,7;13,2,33.4889,high,Protein PLANT CADMIUM RESISTANCE,keep,high,direct,,Plant cadmium resistance annotation directly supports stress/detox response.,manual_review_recommendation
v1,stress_chaperone_response,Stress / chaperone response,reviewed_core,Waus8730.v1.chr3.g095120,-,14,2,10.8817,high,Universal stress protein,keep,high,direct,,Universal stress protein annotation directly supports stress response.,manual_review_recommendation
v1,stress_chaperone_response,Stress / chaperone response,reviewed_core,Waus8730.v1.chr4.g101260,-,12,3,19.8257,high,Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily,keep,high,direct,,Peroxidase annotation supports oxidative-stress response.,manual_review_recommendation
v1,stress_chaperone_response,Stress / chaperone response,reviewed_core,Waus8730.v1.chr4.g106130,-,2;3,5,44.2992,high,Late embryogenesis abundant protein,keep,high,direct,,Late embryogenesis abundant protein supports stress/desiccation-related response.,manual_review_recommendation
v1,stress_chaperone_response,Stress / chaperone response,reviewed_core,Waus8730.v1.chr15.g053120,-,13,5,20.4737,high,Multidrug resistance protein,keep,medium,partial,,"Multidrug resistance protein supports detox/transport stress response, but is somewhat broad.",manual_review_recommendation
v1,stress_chaperone_response,Stress / chaperone response,reviewed_core,Waus8730.v1.chr15.g050040,-,13,7,20.3604,medium,Chaperone protein dnaJ 8,keep,high,direct,,DnaJ chaperone annotation directly supports chaperone/stress-response program.,manual_review_recommendation
v1,stress_chaperone_response,Stress / chaperone response,reviewed_supporting,Waus8730.v1.chr7.g133850,THI1,0;3;12,1,38.8951,high,"Involved in biosynthesis of the thiamine precursor thiazole. Catalyzes the conversion of NAD and glycine to adenosine diphosphate 5-(2-hydroxyethyl)-4-methylthiazole-2-carboxylic acid (ADT), an adenylated thiazole intermediate. The reaction includes an iron-de",maybe,medium,partial,,THI1/thiamine biosynthesis can be stress-related but is not a direct stress marker; use cautiously.,manual_review_recommendation
v1,stress_chaperone_response,Stress / chaperone response,reviewed_supporting,Waus8730.v1.chr20.g087750,-,9,3,36.451,high,Bifunctional monodehydroascorbate reductase and carbonic anhydrase nectarin-3,maybe,medium,partial,carbon_fixation_assimilation,Bifunctional MDHAR/carbonic anhydrase may reflect oxidative stress and carbon balance; plausible but not a clean stress marker.,manual_review_recommendation
v1,unknown_high_marker,Unknown high-ranking marker,reviewed_supporting,Waus8730.v1.chr19.g070270,-,14,8,8.8351,medium,"Hydrolyzes acetyl esters in homogalacturonan regions of pectin. In type I primary cell wall, galacturonic acid residues of pectin can be acetylated at the O-2 and O-3 positions. Decreasing the degree of acetylation of pectin gels in vitro alters their physical",maybe,medium,partial,lipid_surface_cell_wall,Annotation suggests pectin/cell-wall modification rather than unknown function; consider moving to lipid/surface/cell-wall biology.,manual_review_recommendation
v1,unknown_high_marker,Unknown high-ranking marker,reviewed_unknown_watchlist,Waus8730.v1.chr5.g116730,-,2,1,49.9679,high,"Protein of unknown function, DUF538",unknown_interesting,high,unknown,,Strong high-ranking DUF538 marker with unknown function; keep as Wolffia-specific watchlist gene.,manual_review_recommendation
v1,unknown_high_marker,Unknown high-ranking marker,reviewed_unknown_watchlist,Waus8730.v1.chr4.g105210,-,13,3,21.6994,high,Protein of unknown function (DUF1645),unknown_interesting,high,unknown,,Strong high-ranking DUF1645 marker with unknown function; keep as Wolffia-specific watchlist gene.,manual_review_recommendation
v1,unknown_high_marker,Unknown high-ranking marker,reviewed_unknown_watchlist,Waus8730.v1.chr2.g075880,-,7,4,40.0821,high,"Protein of unknown function, DUF538",unknown_interesting,high,unknown,,Strong high-ranking DUF538 marker with unknown function; keep as Wolffia-specific watchlist gene.,manual_review_recommendation
v1,unknown_high_marker,Unknown high-ranking marker,reviewed_unknown_watchlist,Waus8730.v1.chr9.g142880,-,2;3,7,42.2644,medium,"Protein of unknown function, DUF538",unknown_interesting,medium,unknown,,"DUF538 marker with moderate rank; keep as watchlist, not named biology.",manual_review_recommendation
